_id,state,event,venue,Year,time,food_type,food,budget
00000046,Mizoram,First Holy Communion,Indoor,2019,Afternoon,Specific,North Indian,438445
00000047,Telangana,Conference,Both,2010,Evening,Vegetarian,,568879
00000048,Andhra Pradesh,Birthday,Both,2014,Morning,Specific,Goan,321563
00000049,Telangana,Conference,Indoor,2010,Afternoon,Vegetarian,,351359
0000004a,Tamil Nadu,Birthday,Indoor,2011,Evening,Specific,South Indian,567813
0000004b,Himachal Pradesh,Engagement,Both,2018,Morning,Vegetarian,,691837
0000004c,Punjab,Baptism,Outdoor,2012,Morning,Specific,North-East Style,1776107
0000004d,Karnataka,Housewarming,Outdoor,2014,Evening,,,288881
0000004e,Haryana,Orientation,Indoor,2016,Afternoon,Specific,Kerala Style,1938521
0000004f,Mizoram,Birthday,Indoor,2010,Evening,,,488724
00000050,West Bengal,Wedding,Both,2017,Afternoon,Non-vegetarian,,660842
00000051,Jharkhand,Conference,Indoor,2017,Morning,Specific,North-East Style,52987
00000052,Telangana,Birthday,Outdoor,2018,Morning,Vegetarian,,1122154
00000053,Assam,Housewarming,Indoor,2011,Afternoon,Non-vegetarian,,845665
00000054,Goa,Orientation,Outdoor,2018,Morning,,,547077
00000055,Karnataka,Orientation,Both,2012,Evening,Specific,North-East Style,1444238
00000056,Odisha,Birthday,Indoor,2017,Morning,Vegetarian,,90255
00000057,Arunachal Pradesh,Baptism,Outdoor,2019,Morning,,,888379
00000058,Assam,Orientation,Outdoor,2018,Afternoon,Specific,North-East Style,1158548
00000059,Chhattisgarh,Baptism,Outdoor,2012,Afternoon,,,785771
0000005a,Kerala,Birthday,Outdoor,2019,Afternoon,Non-vegetarian,,1509631
0000005b,Meghalaya,Orientation,Outdoor,2010,Evening,,,875564
0000005c,Uttarakhand,Baptism,Indoor,2018,Evening,Specific,North Indian,1049250
0000005d,Gujarat,Conference,Indoor,2010,Evening,Specific,Kerala Style,617531
0000005e,Sikkim,First Holy Communion,Outdoor,2017,Afternoon,Specific,Goan,106614
0000005f,Gujarat,Wedding,Outdoor,2014,Evening,Vegetarian,,247980
00000060,Odisha,Orientation,Indoor,2012,Afternoon,,,534167
00000061,Himachal Pradesh,Orientation,Both,2018,Evening,Specific,Kerala Style,1681993
00000062,Sikkim,First Holy Communion,Both,2014,Evening,Specific,North-East Style,1760803
00000063,Tamil Nadu,Conference,Outdoor,2015,Evening,Specific,Kerala Style,1479324
00000064,Himachal Pradesh,Engagement,Indoor,2010,Morning,Vegetarian,,1620777
00000065,Tamil Nadu,Housewarming,Outdoor,2014,Evening,Specific,South Indian,390313
00000066,Odisha,Orientation,Outdoor,2017,Afternoon,Non-vegetarian,,1580638
00000067,Rajasthan,Housewarming,Both,2017,Morning,Specific,North Indian,1080259
00000068,Andhra Pradesh,Birthday,Indoor,2018,Morning,Non-vegetarian,,830329
00000069,Haryana,Engagement,Outdoor,2019,Afternoon,Vegetarian,,1622586
0000006a,Manipur,Housewarming,Indoor,2017,Morning,Non-vegetarian,,180563
0000006b,Punjab,Conference,Both,2011,Evening,Specific,South Indian,966061
0000006c,Telangana,Conference,Outdoor,2010,Afternoon,Vegetarian,,1297777
0000006d,West Bengal,Wedding,Outdoor,2012,Evening,Vegetarian,,1133048
0000006e,West Bengal,Engagement,Indoor,2012,Evening,Non-vegetarian,,1805291
0000006f,Nagaland,Wedding,Indoor,2017,Morning,Vegetarian,,480086
00000070,Punjab,Wedding,Both,2015,Morning,Vegetarian,,783294
00000071,Haryana,First Holy Communion,Outdoor,2019,Morning,Vegetarian,,394537
00000072,Kerala,Wedding,Both,2010,Afternoon,Non-vegetarian,,1444098
00000073,Tamil Nadu,Birthday,Indoor,2016,Afternoon,Vegetarian,,947686
00000074,Haryana,Baptism,Outdoor,2013,Morning,Non-vegetarian,,615842
00000075,Mizoram,Birthday,Outdoor,2013,Afternoon,Non-vegetarian,,1381931
00000076,Telangana,First Holy Communion,Indoor,2019,Afternoon,Specific,Kerala Style,149227
00000077,Punjab,Housewarming,Indoor,2013,Evening,Non-vegetarian,,115453
00000078,Mizoram,Conference,Both,2013,Evening,Non-vegetarian,,1319732
00000079,Uttarakhand,Orientation,Indoor,2014,Evening,,,748871
0000007a,Tamil Nadu,Housewarming,Outdoor,2010,Afternoon,Vegetarian,,64916
0000007b,Kerala,First Holy Communion,Both,2015,Morning,Vegetarian,,325106
0000007c,Punjab,Baptism,Indoor,2011,Afternoon,Vegetarian,,1552591
0000007d,Haryana,Orientation,Outdoor,2012,Afternoon,Non-vegetarian,,1761377
0000007e,Bihar,Conference,Both,2019,Afternoon,Specific,Goan,1479178
0000007f,Odisha,First Holy Communion,Indoor,2010,Morning,Non-vegetarian,,1013177
00000080,Madhya Pradesh,First Holy Communion,Both,2015,Morning,Specific,Kerala Style,226358
00000081,Karnataka,Engagement,Indoor,2018,Evening,Non-vegetarian,,1079935
00000082,Nagaland,Wedding,Indoor,2012,Afternoon,,,976732
00000083,Nagaland,Wedding,Indoor,2015,Afternoon,Vegetarian,,605129
00000084,Chhattisgarh,Baptism,Indoor,2019,Morning,Specific,Kerala Style,1803238
00000085,Meghalaya,Birthday,Both,2016,Afternoon,Non-vegetarian,,551181
00000086,Haryana,First Holy Communion,Both,2019,Evening,Vegetarian,,1219032
00000087,Uttarakhand,Engagement,Outdoor,2013,Evening,,,1862941
00000088,Kerala,Wedding,Indoor,2014,Afternoon,Specific,North-East Style,1778034
00000089,Tripura,Wedding,Both,2017,Afternoon,,,1385352
0000008a,Jharkhand,Baptism,Both,2017,Afternoon,Non-vegetarian,,179903
0000008b,Jharkhand,Housewarming,Outdoor,2014,Evening,Specific,North-East Style,1096326
0000008c,Assam,Wedding,Outdoor,2011,Afternoon,Vegetarian,,1405838
0000008d,Punjab,Birthday,Outdoor,2012,Afternoon,Non-vegetarian,,1299232
0000008e,Nagaland,Wedding,Both,2015,Evening,,,1250605
0000008f,Gujarat,Baptism,Outdoor,2014,Evening,Specific,North Indian,1223980
00000090,Maharashtra,Engagement,Both,2019,Morning,Vegetarian,,1159571
00000091,Odisha,Birthday,Both,2018,Afternoon,Non-vegetarian,,1269398
00000092,Sikkim,Birthday,Both,2017,Afternoon,Vegetarian,,61316
00000093,Gujarat,Baptism,Both,2018,Afternoon,Non-vegetarian,,861241
00000094,Tamil Nadu,First Holy Communion,Both,2016,Afternoon,Specific,Goan,1993710
00000095,Mizoram,Engagement,Outdoor,2017,Evening,Non-vegetarian,,1642484
00000096,Tripura,Birthday,Outdoor,2015,Morning,,,284166
00000097,Sikkim,Conference,Both,2012,Evening,Specific,North-East Style,1666982
00000098,Maharashtra,Orientation,Both,2018,Evening,,,1182651
00000099,Punjab,Birthday,Indoor,2014,Morning,Specific,Kerala Style,619649
0000009a,Madhya Pradesh,Baptism,Outdoor,2018,Morning,Specific,North-East Style,1666989
0000009b,Nagaland,First Holy Communion,Outdoor,2012,Evening,Specific,South Indian,1628488
0000009c,Himachal Pradesh,Conference,Indoor,2017,Evening,Non-vegetarian,,585358
0000009d,Uttarakhand,Wedding,Indoor,2016,Morning,Specific,North Indian,902906
0000009e,Nagaland,Wedding,Outdoor,2019,Afternoon,Vegetarian,,212693
0000009f,Bihar,Engagement,Indoor,2019,Evening,Specific,North Indian,1533542
000000a0,Manipur,Housewarming,Both,2014,Morning,Non-vegetarian,,421313
000000a1,Telangana,Engagement,Outdoor,2014,Morning,Vegetarian,,464088
000000a2,Haryana,Baptism,Outdoor,2014,Morning,,,468713
000000a3,Andhra Pradesh,Engagement,Both,2016,Afternoon,Non-vegetarian,,165448
000000a4,Kerala,Engagement,Indoor,2017,Afternoon,,,771052
000000a5,West Bengal,Housewarming,Both,2017,Evening,Vegetarian,,918073
000000a6,Jharkhand,Baptism,Indoor,2013,Afternoon,Vegetarian,,885570
000000a7,Arunachal Pradesh,Wedding,Outdoor,2018,Evening,Non-vegetarian,,1519119
000000a8,Tripura,First Holy Communion,Indoor,2012,Afternoon,Specific,South Indian,521768
000000a9,Chhattisgarh,First Holy Communion,Indoor,2011,Afternoon,,,902081
000000aa,Telangana,Orientation,Outdoor,2010,Evening,,,1336031
000000ab,Gujarat,Conference,Indoor,2013,Morning,,,1664040
000000ac,Sikkim,Conference,Both,2010,Evening,Vegetarian,,1904124
000000ad,Rajasthan,Baptism,Outdoor,2010,Morning,Vegetarian,,977843
000000ae,Tripura,Baptism,Both,2019,Afternoon,Non-vegetarian,,480401
000000af,Assam,Orientation,Indoor,2018,Evening,,,1736361
000000b0,Assam,Orientation,Indoor,2015,Evening,Specific,Kerala Style,1445874
000000b1,Assam,Baptism,Both,2019,Morning,Non-vegetarian,,1437372
000000b2,Tamil Nadu,First Holy Communion,Outdoor,2016,Evening,,,1641933
000000b3,Andhra Pradesh,First Holy Communion,Both,2013,Morning,Specific,North-East Style,1799374
000000b4,Karnataka,Conference,Indoor,2014,Evening,Vegetarian,,1255078
000000b5,Tripura,Housewarming,Indoor,2011,Afternoon,Specific,Kerala Style,1978761
000000b6,Uttarakhand,Engagement,Both,2014,Afternoon,Specific,North Indian,747886
000000b7,Manipur,Birthday,Outdoor,2016,Morning,Vegetarian,,579977
000000b8,Manipur,Engagement,Outdoor,2015,Afternoon,,,994247
000000b9,Bihar,Conference,Both,2013,Evening,Vegetarian,,1120931
000000ba,Himachal Pradesh,Conference,Both,2018,Afternoon,,,887633
000000bb,Mizoram,First Holy Communion,Outdoor,2019,Afternoon,Vegetarian,,618373
000000bc,Bihar,Birthday,Indoor,2011,Morning,Specific,North Indian,754551
000000bd,Uttarakhand,Wedding,Both,2016,Evening,Specific,North-East Style,925855
000000be,Gujarat,Housewarming,Both,2012,Evening,Specific,South Indian,738920
000000bf,Madhya Pradesh,First Holy Communion,Both,2013,Morning,Vegetarian,,701316
000000c0,Madhya Pradesh,Birthday,Indoor,2016,Evening,Specific,Goan,153203
000000c1,Maharashtra,Conference,Both,2013,Evening,Specific,Goan,918098
000000c2,Rajasthan,Engagement,Both,2014,Afternoon,Specific,South Indian,843672
000000c3,Manipur,Birthday,Both,2017,Morning,Vegetarian,,653226
000000c4,Meghalaya,Wedding,Both,2014,Morning,Specific,South Indian,919760
000000c5,Assam,Baptism,Both,2019,Morning,Non-vegetarian,,1537843
000000c6,Haryana,Engagement,Both,2015,Afternoon,Vegetarian,,1971469
000000c7,Andhra Pradesh,Birthday,Both,2011,Afternoon,Vegetarian,,1145898
000000c8,Gujarat,Orientation,Outdoor,2014,Evening,,,174584
000000c9,West Bengal,Housewarming,Indoor,2013,Afternoon,Vegetarian,,1035706
000000ca,Punjab,Wedding,Both,2016,Afternoon,Vegetarian,,1777135
000000cb,Karnataka,Orientation,Outdoor,2015,Morning,Specific,North Indian,1204890
000000cc,Haryana,Housewarming,Both,2016,Morning,Non-vegetarian,,1064906
000000cd,Meghalaya,Baptism,Outdoor,2016,Afternoon,Non-vegetarian,,608079
000000ce,Sikkim,Conference,Outdoor,2018,Evening,Vegetarian,,1893192
000000cf,Punjab,Wedding,Indoor,2012,Morning,Non-vegetarian,,941422
000000d0,Chhattisgarh,Housewarming,Indoor,2015,Morning,Specific,North-East Style,117051
000000d1,Manipur,Birthday,Indoor,2015,Evening,,,631620
000000d2,Himachal Pradesh,Housewarming,Outdoor,2017,Morning,Specific,Kerala Style,1556394
000000d3,Karnataka,Conference,Both,2015,Evening,,,1833370
000000d4,Madhya Pradesh,Housewarming,Both,2012,Evening,Specific,South Indian,1507008
000000d5,Tripura,Wedding,Both,2016,Evening,Non-vegetarian,,1222635
000000d6,Madhya Pradesh,Orientation,Indoor,2019,Evening,Vegetarian,,1070790
000000d7,Assam,Engagement,Both,2017,Evening,,,354043
000000d8,Odisha,First Holy Communion,Indoor,2015,Afternoon,,,1296466
000000d9,Telangana,Baptism,Indoor,2016,Morning,Specific,South Indian,1460795
000000da,Himachal Pradesh,Wedding,Outdoor,2012,Morning,Non-vegetarian,,1252139
000000db,Tripura,Conference,Indoor,2019,Afternoon,Vegetarian,,1153218
000000dc,Assam,Wedding,Indoor,2016,Morning,Vegetarian,,974165
000000dd,Madhya Pradesh,First Holy Communion,Both,2014,Evening,Non-vegetarian,,1480258
000000de,Karnataka,Orientation,Both,2016,Afternoon,Specific,Goan,1375156
000000df,Telangana,Wedding,Indoor,2016,Afternoon,,,1974714
000000e0,Chhattisgarh,Engagement,Both,2012,Morning,Non-vegetarian,,661110
000000e1,Tamil Nadu,First Holy Communion,Outdoor,2018,Morning,Specific,Kerala Style,401548
000000e2,Mizoram,Baptism,Outdoor,2011,Evening,,,768322
000000e3,Telangana,Orientation,Outdoor,2012,Evening,Vegetarian,,521093
000000e4,Gujarat,Engagement,Indoor,2011,Evening,Vegetarian,,1444695
000000e5,Uttarakhand,First Holy Communion,Indoor,2016,Morning,,,1146979
000000e6,Uttar Pradesh,Wedding,Both,2014,Evening,Specific,Goan,1631903
000000e7,Jharkhand,Housewarming,Outdoor,2018,Evening,,,976693
000000e8,Maharashtra,Birthday,Outdoor,2010,Evening,Vegetarian,,1080801
000000e9,Himachal Pradesh,Engagement,Both,2013,Morning,Specific,North Indian,1128035
000000ea,Telangana,Birthday,Indoor,2017,Afternoon,Specific,North-East Style,300935
000000eb,Goa,Wedding,Outdoor,2014,Afternoon,,,1689539
000000ec,Mizoram,Orientation,Indoor,2013,Morning,Vegetarian,,433775
000000ed,Himachal Pradesh,Orientation,Both,2018,Evening,Vegetarian,,298712
000000ee,Telangana,First Holy Communion,Both,2019,Evening,Specific,Kerala Style,1084547
000000ef,Jharkhand,Engagement,Both,2017,Evening,,,413060
000000f0,Karnataka,Baptism,Indoor,2013,Afternoon,Specific,North Indian,689682
000000f1,Jharkhand,Baptism,Outdoor,2012,Morning,Specific,Goan,1853941
000000f2,Kerala,First Holy Communion,Outdoor,2012,Morning,Specific,North-East Style,1727843
000000f3,Gujarat,Birthday,Indoor,2016,Morning,Specific,South Indian,1522436
000000f4,Chhattisgarh,Orientation,Both,2015,Evening,,,1158148
000000f5,Manipur,Orientation,Outdoor,2014,Morning,Non-vegetarian,,614173
000000f6,Tamil Nadu,Conference,Both,2017,Evening,Vegetarian,,1654325
000000f7,Odisha,Housewarming,Outdoor,2017,Afternoon,Specific,North-East Style,1771802
000000f8,Kerala,Engagement,Both,2015,Morning,Non-vegetarian,,1344379
000000f9,Manipur,Conference,Both,2015,Afternoon,Specific,North-East Style,59680
000000fa,Meghalaya,Wedding,Indoor,2015,Evening,Non-vegetarian,,1107973
000000fb,Madhya Pradesh,First Holy Communion,Indoor,2010,Afternoon,,,287852
000000fc,Telangana,Conference,Both,2013,Afternoon,Vegetarian,,1421127
000000fd,Punjab,First Holy Communion,Both,2019,Morning,Vegetarian,,1023371
000000fe,Nagaland,Housewarming,Indoor,2014,Evening,,,873640
000000ff,Nagaland,Engagement,Indoor,2012,Evening,Specific,Goan,969610
00000100,Andhra Pradesh,Birthday,Outdoor,2012,Morning,Non-vegetarian,,98750
00000101,Arunachal Pradesh,First Holy Communion,Outdoor,2015,Afternoon,Specific,South Indian,1672311
00000102,West Bengal,Conference,Both,2012,Evening,,,804782
00000103,Andhra Pradesh,Engagement,Outdoor,2014,Afternoon,,,616460
00000104,Gujarat,Baptism,Indoor,2018,Afternoon,Specific,North-East Style,880144
00000105,Karnataka,Conference,Outdoor,2016,Afternoon,Vegetarian,,1111628
00000106,Manipur,Baptism,Indoor,2011,Evening,,,143029
00000107,Maharashtra,Birthday,Outdoor,2016,Evening,Vegetarian,,986368
00000108,Tripura,Baptism,Indoor,2016,Afternoon,Non-vegetarian,,1041318
00000109,Tripura,Housewarming,Outdoor,2017,Afternoon,Vegetarian,,1722352
0000010a,Goa,Housewarming,Both,2010,Afternoon,Vegetarian,,1745653
0000010b,Himachal Pradesh,Conference,Indoor,2014,Morning,,,1255268
0000010c,Gujarat,Engagement,Indoor,2016,Afternoon,Vegetarian,,1968491
0000010d,Gujarat,Housewarming,Both,2013,Afternoon,,,1769839
0000010e,Karnataka,Baptism,Both,2013,Afternoon,,,363337
0000010f,Jharkhand,Wedding,Both,2010,Afternoon,Non-vegetarian,,1887268
00000110,Chhattisgarh,Housewarming,Outdoor,2014,Afternoon,,,1460840
00000111,Arunachal Pradesh,First Holy Communion,Indoor,2011,Afternoon,,,611436
00000112,Sikkim,Conference,Indoor,2016,Evening,Specific,North-East Style,378470
00000113,Tripura,Baptism,Indoor,2013,Afternoon,Specific,Goan,610760
00000114,Kerala,Orientation,Both,2011,Evening,,,1598673
00000115,Karnataka,Engagement,Outdoor,2014,Afternoon,Non-vegetarian,,433245
00000116,Tripura,First Holy Communion,Indoor,2019,Evening,Vegetarian,,1748536
00000117,Odisha,Housewarming,Indoor,2019,Evening,,,1412091
00000118,West Bengal,Housewarming,Both,2019,Afternoon,Specific,South Indian,1446825
00000119,Gujarat,Birthday,Indoor,2015,Afternoon,,,1818956
0000011a,Chhattisgarh,Housewarming,Outdoor,2016,Afternoon,,,542698
0000011b,Kerala,Conference,Indoor,2014,Afternoon,,,948157
0000011c,Jharkhand,Wedding,Both,2017,Evening,Non-vegetarian,,111402
0000011d,Jharkhand,Orientation,Outdoor,2014,Morning,Specific,North Indian,942544
0000011e,Jharkhand,Baptism,Indoor,2017,Evening,Vegetarian,,1094278
0000011f,Madhya Pradesh,Baptism,Outdoor,2011,Evening,,,740843
00000120,Telangana,Conference,Outdoor,2018,Evening,,,1057462
00000121,Kerala,Housewarming,Outdoor,2010,Evening,Non-vegetarian,,1828378
00000122,Karnataka,Baptism,Both,2018,Evening,,,1598108
00000123,Sikkim,Birthday,Indoor,2013,Afternoon,Specific,North-East Style,1406378
00000124,Maharashtra,First Holy Communion,Indoor,2012,Afternoon,Vegetarian,,1538765
00000125,Sikkim,Baptism,Both,2019,Evening,Vegetarian,,1451918
00000126,Sikkim,Orientation,Both,2019,Evening,,,1498274
00000127,Madhya Pradesh,Baptism,Both,2018,Morning,,,1469243
00000128,Haryana,Engagement,Both,2018,Morning,Non-vegetarian,,1796688
00000129,Telangana,Engagement,Indoor,2015,Morning,Vegetarian,,1785106
0000012a,Rajasthan,Housewarming,Outdoor,2014,Morning,,,727939
0000012b,Sikkim,Conference,Outdoor,2019,Evening,Specific,South Indian,669424
0000012c,Odisha,Engagement,Outdoor,2013,Afternoon,Non-vegetarian,,529523
0000012d,Nagaland,First Holy Communion,Outdoor,2016,Afternoon,,,1888612
0000012e,Gujarat,Conference,Both,2011,Morning,Vegetarian,,66826
0000012f,Sikkim,Engagement,Outdoor,2014,Evening,Non-vegetarian,,1890210
00000130,Chhattisgarh,Conference,Both,2011,Evening,Specific,North Indian,814176
00000131,Haryana,Conference,Outdoor,2019,Morning,Vegetarian,,807833
00000132,Sikkim,Orientation,Indoor,2014,Morning,Specific,North-East Style,594139
00000133,Madhya Pradesh,First Holy Communion,Indoor,2019,Morning,Specific,Kerala Style,643789
00000134,Tamil Nadu,Orientation,Both,2019,Morning,Non-vegetarian,,1245643
00000135,Gujarat,Wedding,Outdoor,2011,Morning,Non-vegetarian,,508548
00000136,Mizoram,Wedding,Indoor,2019,Morning,Non-vegetarian,,1801702
00000137,Haryana,Wedding,Outdoor,2010,Afternoon,Specific,North-East Style,1512426
00000138,Haryana,Wedding,Outdoor,2018,Morning,Non-vegetarian,,1135541
00000139,Uttar Pradesh,Engagement,Indoor,2016,Morning,Vegetarian,,694178
0000013a,Chhattisgarh,Conference,Both,2010,Morning,Vegetarian,,450635
0000013b,Gujarat,Engagement,Both,2013,Morning,Vegetarian,,1878408
0000013c,Andhra Pradesh,Birthday,Outdoor,2017,Afternoon,Non-vegetarian,,1123325
0000013d,Punjab,Housewarming,Both,2017,Afternoon,Vegetarian,,642867
0000013e,Jharkhand,Orientation,Outdoor,2019,Morning,Vegetarian,,300107
0000013f,Chhattisgarh,Orientation,Both,2019,Afternoon,Vegetarian,,1909489
00000140,Sikkim,Birthday,Indoor,2019,Morning,,,1712468
00000141,Jharkhand,Housewarming,Both,2016,Evening,Non-vegetarian,,1648764
00000142,Nagaland,Housewarming,Indoor,2017,Evening,Non-vegetarian,,1757573
00000143,Odisha,Birthday,Both,2014,Morning,,,1167712
00000144,Tamil Nadu,Orientation,Indoor,2018,Morning,Specific,Goan,1480685
00000145,Odisha,Baptism,Indoor,2015,Morning,Vegetarian,,445611
00000146,Jharkhand,Orientation,Outdoor,2013,Evening,Specific,South Indian,716394
00000147,Madhya Pradesh,Engagement,Both,2010,Afternoon,Specific,South Indian,1900944
00000148,Meghalaya,Wedding,Outdoor,2017,Evening,Vegetarian,,1779620
00000149,Mizoram,First Holy Communion,Both,2013,Afternoon,Non-vegetarian,,1278122
0000014a,Haryana,First Holy Communion,Indoor,2011,Afternoon,,,880387
0000014b,Gujarat,First Holy Communion,Both,2012,Morning,,,942257
0000014c,Punjab,Housewarming,Indoor,2014,Afternoon,Non-vegetarian,,1705429
0000014d,Manipur,Engagement,Outdoor,2012,Morning,Vegetarian,,1360369
0000014e,Assam,Housewarming,Outdoor,2010,Evening,Vegetarian,,1822328
0000014f,West Bengal,Wedding,Outdoor,2017,Afternoon,Non-vegetarian,,1375413
00000150,West Bengal,First Holy Communion,Both,2019,Morning,Non-vegetarian,,422480
00000151,Odisha,Engagement,Both,2018,Evening,Non-vegetarian,,1379335
00000152,Punjab,Baptism,Both,2012,Afternoon,,,261368
00000153,Odisha,Baptism,Indoor,2019,Evening,Vegetarian,,960581
00000154,Jharkhand,Birthday,Both,2012,Evening,,,1817776
00000155,Bihar,Orientation,Indoor,2015,Morning,Non-vegetarian,,403185
00000156,Jharkhand,Housewarming,Indoor,2017,Afternoon,Vegetarian,,451341
00000157,Assam,First Holy Communion,Indoor,2012,Afternoon,,,652752
00000158,Haryana,Conference,Both,2015,Morning,Vegetarian,,914026
00000159,Meghalaya,Wedding,Outdoor,2014,Morning,Non-vegetarian,,1555543
0000015a,West Bengal,Wedding,Both,2013,Afternoon,Non-vegetarian,,1572852
0000015b,Uttar Pradesh,Baptism,Indoor,2018,Evening,Vegetarian,,537357
0000015c,Jharkhand,Engagement,Outdoor,2014,Afternoon,Specific,Goan,1150022
